sample,PC1,PC2,assay,mouse_id,tissue,timepoint,project,batch,treatment,genotype,sex,sample_date,dob,dod,sample_weeks,age_at_end,age_at_start,age_at_sample,samtools.flagstat_total,samtools.mapped_passed,biotype_counts.percent_rRNA,dupradar.dupRadar_intercept,picard.PERCENT_DUPLICATION,qualimap.5_3_bias,qualimap.reads_aligned,rseqc.proper_pairs_percent,salmon.percent_mapped,salmon.num_mapped,samtools.error_rate,samtools.non_primary_alignments,samtools.reads_mapped,samtools.reads_properly_paired_percent,samtools.reads_MQ0_percent,samtools.raw_total_sequences,star.uniquely_mapped_percent,star.uniquely_mapped,fastqc_raw.percent_duplicates,fastqc_raw.percent_gc,fastqc_raw.percent_fails,fastqc_raw.total_sequences,fastqc_trimmed.percent_duplicates,fastqc_trimmed.percent_gc,fastqc_trimmed.avg_sequence_length,fastqc_trimmed.percent_fails,fastqc_trimmed.total_sequences,myeloid,CML_space,myeloid_class,state_class,time_class,Group,HSA_ABL1_gene,HSA_BCR_ABL1_gene,HSA_BCR_gene,HSA_MYH11_gene,state_chr,myeloid_chr,old.state_class,rx_class,state_rx,group_name
COHP_44983,0.032377272,-0.15321191,mRNA,490,PBMC,5,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,1/19/21,10/2/20,NA,5,28.6,10.6,15.6,109107344,109107344,0.45388113,0.060910464,0.361461,1.09,33916695,37.94077326,59.5225443,23238012,0.003668717,41100189,68007155,99.74449012,4.331913311,68007155,68.8,26858910,52.91217146,51.5,22.72727273,39491069,52.52112446,51.5,98.11637807,22.72727273,39040690,NA,28.19364288,NA,NA,NA,C,0.146167,0,0.053605,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44984,0.04368596,-0.14931477,mRNA,490,PBMC,6,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,1/26/21,10/2/20,NA,6,28.6,10.6,16.6,111172662,111172662,0.478051724,0.046333173,0.377437,1.08,33193903,35.37694366,64.24976276,24875465,0.003485485,44650370,66522292,99.79783318,4.635713694,66522292,65.29,25278614,56.2544428,52.5,18.18181818,39055914,55.83390275,52.5,98.13211997,13.63636364,38716820,NA,-0.932515795,NA,NA,NA,C,0.165187,0,0.088688,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44985,0.041507907,-0.161857687,mRNA,490,PBMC,7,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,2/2/21,10/2/20,NA,7,28.6,10.6,17.6,128892340,128892340,0.624823799,0.082331102,0.388195,1.09,41929443,38.09413345,56.83732286,28051872,0.003883391,44817251,84075089,99.74284535,3.739969874,84075089,68.29,33705230,55.92607041,53,13.63636364,49868708,55.5179201,53,98.07327635,9.090909091,49354668,NA,3.680101743,NA,NA,NA,C,0.041977,0,0.078961,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44986,-0.026206986,-0.1677687,mRNA,490,PBMC,8,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,2/9/21,10/2/20,NA,8,28.6,10.6,18.6,119070211,119070211,0.449052239,0.049175744,0.393073,1.08,34453634,33.49569272,60.30972916,24531112,0.00366154,49987583,69082628,99.74615905,5.411157781,69082628,63.84,25966211,55.98280151,53,13.63636364,41121877,55.65765558,53,98.18046213,9.090909091,40675215,NA,39.89046826,NA,NA,NA,C,0.121486,0,0.084074,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44987,-0.038433404,-0.176866656,mRNA,490,PBMC,9,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,2/16/21,10/2/20,NA,9,28.6,10.6,19.6,116246084,116246084,0.769870147,0.055007836,0.423734,1.08,33045630,31.14824754,61.76660524,24285497,0.003832012,49941116,66304968,99.67768931,5.317100824,66304968,62.17,24444801,58.75378906,53.5,13.63636364,39863022,58.45060742,53.5,97.9957042,9.090909091,39318167,NA,33.91144051,NA,NA,NA,C,0.106232,0.198313,0.072564,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44988,0.002262035,-0.188636627,mRNA,490,PBMC,10,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,2/23/21,10/2/20,NA,10,28.6,10.6,20.6,127789545,127789545,0.712474678,0.068927,0.409142,1.09,36917119,32.57978734,62.41885469,26736564,0.002974842,53764525,74025020,99.74227363,5.563853951,74025020,65.5,28054350,58.47793376,52.5,18.18181818,43426329,58.30134278,52.5,98.35014187,18.18181818,42834115,NA,46.11530298,NA,NA,NA,C,0.145386,0,0.080388,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44989,0.025359486,-0.135395706,mRNA,490,PBMC,11,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,3/2/21,10/2/20,NA,11,28.6,10.6,21.6,148701427,148701427,0.610464517,0.075876285,0.411218,1.02,44664624,33.80807906,61.49129937,31497545,0.002889989,59207320,89494107,99.81578787,4.723252895,89494107,67.25,34445313,59.36213686,51,13.63636364,51707878,59.15495325,51,98.57090922,13.63636364,51222767,NA,28.93946868,NA,NA,NA,C,0.090131,0,0.073656,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44990,0.03970614,-0.166357876,mRNA,490,PBMC,12,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,3/9/21,10/2/20,NA,12,28.6,10.6,22.6,139501135,139501135,0.626064103,0.067460707,0.385207,0.98,41076968,34.55142641,60.95902569,29546385,0.003076888,57110096,82391039,99.71222234,5.242617465,82391039,66.17,32071854,57.16054472,51,18.18181818,49141485,56.91081545,51,98.24451633,18.18181818,48469254,NA,20.63562493,NA,NA,NA,C,0.082782,0,0.070362,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44991,0.110259287,-0.068838153,mRNA,490,PBMC,13,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,3/16/21,10/2/20,NA,13,28.6,10.6,23.6,152775917,152775917,0.20022913,0.078564457,0.34399,1.01,49045063,40.39112002,60.6411312,34731234,0.002774233,54336401,98439516,99.6450714,4.173109709,98439516,70.77,40534501,54.65257224,49,22.72727273,58350825,54.3070171,48.5,98.02577055,22.72727273,57273394,NA,-19.7031372,NA,NA,NA,C,0.111868,0.714577,0.016003,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44992,0.140524916,-0.018695879,mRNA,490,PBMC,14,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,3/23/21,10/2/20,NA,14,28.6,10.6,24.6,116666872,116666872,0.695593845,0.066955706,0.346621,1.05,40273033,43.13044238,62.27550456,28119522,0.002779968,36053936,80612936,99.91704805,2.956348098,80612936,73.07,32993530,56.52412223,51,9.090909091,45453135,55.95019104,51,98.21899534,13.63636364,45153423,NA,-38.78307326,NA,NA,NA,C,0.107641,0,0.065049,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44993,-0.037057513,-0.147896732,mRNA,490,PBMC,15,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,3/30/21,10/2/20,NA,15,28.6,10.6,25.6,177192704,177192704,0.652376889,0.079146103,0.473674,1.07,47062248,26.6177788,66.25209876,36477219,0.00292897,82923001,94269703,99.84596642,6.304858094,94269703,62.05,34163476,65.31291438,54,18.18181818,55989232,65.17178239,54,98.63644943,13.63636364,55058209,NA,21.53879073,NA,NA,NA,C,0.058091,0,0.046007,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44994,0.056145793,-0.107786988,mRNA,490,PBMC,16,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,4/6/21,10/2/20,NA,16,28.6,10.6,26.6,160714229,160714229,0.869620549,0.085027053,0.476027,1.07,42933461,26.5338547,71.93667855,36702361,0.002996786,74629933,86084296,99.74748704,6.110092368,86084296,60.92,31082935,66.49388513,53.5,22.72727273,51753125,66.39296767,53.5,98.46848872,22.72727273,51020372,NA,-16.61990896,NA,NA,NA,C,0.074386,0,0.055945,0,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44996,0.142784669,0.017428389,mRNA,490,PBMC,18,CML.mRNA.2021,2021_E,TET_ON_C,"tTA+/-, BCR-ABL+/-",M,4/20/21,10/2/20,NA,18,28.6,10.6,28.6,119872966,119872966,0.807930165,0.058944782,0.371724,1.07,39412573,39.45265691,66.80069487,30192047,0.002775927,40885161,78987805,99.79407074,3.620898188,78987805,68.97,31173927,60.0635392,53,9.090909091,45665803,59.75487538,53,98.361491,9.090909091,45197205,NA,-35.44843881,NA,NA,NA,C,0.062134,0.63186,0.042844,0.003247,Ctrl,NA,NA,NA,Ctrl,Control
COHP_44997,-0.077629183,-0.000705073,mRNA,541,PBMC,0,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,2/16/21,12/1/20,NA,0,29,11,11,216190148,216190148,0.852153454,0.085281824,0.553701,1.08,48558607,18.96218971,73.7620758,42229661,0.002706075,118892677,97297471,99.81473619,8.570852782,97297471,53.96,30893920,71.23920709,53.5,22.72727273,57931228,71.12374509,53.5,98.40240075,22.72727273,57251183,18.4,65.89960773,0,0,0,B,0.016127,0,0,0,c1,c1,0,NA,c1,CML
COHP_44998,0.033676236,-0.14355668,mRNA,541,PBMC,1,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,2/23/21,12/1/20,NA,1,29,11,12,125472722,125472722,0.406186891,0.070212494,0.355377,1.05,39421596,38.83738172,60.26217173,27154231,0.002720057,46487706,78985016,99.82044189,4.185606546,78985016,70.17,31619195,54.4450085,49.5,22.72727273,45456364,54.26988673,49.5,98.64398733,22.72727273,45060160,13.4,24.49549722,0,0,1,B,0.541321,0.502568,0.268303,0,c1,c1,0,NA,c1,CML
COHP_44999,0.042834542,-0.091024175,mRNA,541,PBMC,2,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,3/2/21,12/1/20,NA,2,29,11,13,154235437,154235437,1.188530751,0.090945151,0.443566,1.07,45797454,31.51634601,63.50932461,33206354,0.002984068,62484585,91750852,99.83003537,4.76967124,91750852,66.34,34688912,63.46488875,53,9.090909091,52773543,63.06742275,53,98.09579629,9.090909091,52285793,36.7,-17.56035717,1,0,1,B,0.244987,0,0.125015,0,c1,c2,0,NA,c1,CML
COHP_45000,-0.059549281,0.048474255,mRNA,541,PBMC,3,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,3/9/21,12/1/20,NA,3,29,11,14,218857918,218857918,4.870832664,0.115072954,0.697602,1.1,43534432,11.14813858,73.09279513,41300016,0.003394844,131520717,87337201,99.6927575,10.67549325,87337201,41.96,23707708,79.95505927,57.5,27.27272727,57386215,80.03369084,57.5,97.9899103,27.27272727,56503539,22.7,38.1617635,0,0,1,B,0.523427,0,0.296249,0,c1,c1,0,NA,c1,CML
COHP_45001,0.056439346,-0.112392656,mRNA,541,PBMC,4,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,3/16/21,12/1/20,NA,4,29,11,15,123607861,123607861,0.751719144,0.070620607,0.39706,1.09,42636146,39.74521653,60.1264977,29790393,0.003471866,38217726,85390135,99.8619946,2.766022094,85390135,69.57,34469472,61.27695743,54,9.090909091,49955933,61.00280207,54,98.63054079,13.63636364,49546197,20.9,-22.72142324,0,0,1,B,1.009847,1.625322,0.544447,0,c1,c1,0,NA,c1,CML
COHP_45002,-0.061506113,0.039303829,mRNA,541,PBMC,5,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,3/23/21,12/1/20,NA,5,29,11,16,194238200,194238200,0.55183271,0.06085212,0.52948,1.11,46712950,21.45482814,74.13624598,39039193,0.002679056,100685734,93552466,99.86471121,7.71605315,93552466,57.03,30032623,70.47203412,54,22.72727273,53047132,70.26078864,54,98.54128359,22.72727273,52658713,22.8,20.02402017,0,0,1,B,1.045089,0,0.5744,0,c1,c1,0,NA,c1,CML
COHP_45003,-0.057836872,0.039705281,mRNA,541,PBMC,6,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,3/30/21,12/1/20,NA,6,29,11,17,170104899,170104899,0.875446963,0.07146331,0.533114,1.07,41712302,21.61738799,74.77334059,35798415,0.002780471,86574579,83530320,99.87343997,7.169760633,83530320,56.97,27276801,71.58618048,54,18.18181818,48201748,71.36338826,54,98.70165833,18.18181818,47875907,20.4,3.566297367,0,0,1,B,2.084873,1.412823,0.900584,0,c1,c1,0,NA,c1,CML
COHP_45004,-0.008036618,0.015036206,mRNA,541,PBMC,7,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,4/6/21,12/1/20,NA,7,29,11,18,159274953,159274953,0.045246494,0.127615947,0.501539,0.96,41221441,24.46288463,76.83173958,37657267,0.002396017,76420583,82854370,99.50335993,6.928569972,82854370,61.3,30042536,66.8725155,49,31.81818182,50080874,66.90145754,49,98.16585977,31.81818182,49012644,27.4,-11.59591571,0,0,1,B,3.487594,4.233016,1.266682,0,c1,c1,0,NA,c1,CML
COHP_45005,-0.059843747,0.041261881,mRNA,541,PBMC,8,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,4/13/21,12/1/20,NA,8,29,11,19,208838111,208838111,0.226505709,0.065396565,0.576481,1.07,48726506,18.62244004,80.08092922,44556812,0.002517903,111274474,97563637,99.88661247,8.63275218,97563637,53.8,29934744,76.30019778,55,22.72727273,55997763,76.12049553,55,98.70001908,22.72727273,55639729,17.2,2.977920396,0,0,1,B,5.466826,3.020054,2.806562,0,c1,c1,0,NA,c1,CML
COHP_45006,-0.022068473,0.094163789,mRNA,541,PBMC,9,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,4/20/21,12/1/20,NA,9,29,11,20,178433386,178433386,0.168482873,0.067932019,0.516472,1.08,47621636,24.40368306,79.68067677,42159415,0.002648842,83088744,95344642,99.89368044,6.209759537,95344642,61.63,32606866,73.3567182,53,13.63636364,53267025,73.08318368,53,98.70797644,13.63636364,52910463,19.6,-14.54114728,0,0,1,B,13.611689,10.632433,6.461724,0,c1,c1,0,NA,c1,CML
COHP_45007,-0.005955357,0.038343677,mRNA,541,PBMC,10,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,4/27/21,12/1/20,NA,10,29,11,21,169968326,169968326,0.173590367,0.069262611,0.446374,1.07,55360836,34.42359255,69.62646975,42582822,0.00280871,59163517,110804809,99.92496986,3.02378663,110804809,68.25,41741235,67.29705459,54,13.63636364,61560997,66.86572746,54,98.50767757,13.63636364,61158956,29.5,-48.53087978,0,1,1,B,12.354926,8.82608,5.977444,0,c2,c1,1,NA,c2,CML
COHP_45008,-0.030155323,0.08561944,mRNA,541,PBMC,11,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,5/4/21,12/1/20,NA,11,29,11,22,190811289,190811289,0.168127052,0.06550979,0.546347,1.06,46994718,21.04650527,84.71781865,46183164,0.002574129,96670089,94141200,99.83879109,7.752110659,94141200,57.44,31312746,76.76792326,54,27.27272727,55123301,76.62833906,54,98.55744734,27.27272727,54514109,32.1,-52.83310893,0,1,1,B,17.506692,15.257337,8.042731,0,c2,c1,1,NA,c2,CML
COHP_45009,0.008758995,0.119802623,mRNA,541,PBMC,12,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,5/11/21,12/1/20,NA,12,29,11,23,181006915,181006915,0.359650666,0.11370427,0.545365,1.02,48836331,23.14396994,80.29204646,45721796,0.002639386,83143160,97863755,99.80473568,6.192009493,97863755,60.12,34232319,75.34467472,53.5,18.18181818,57507162,75.08255218,53.5,98.34706187,18.18181818,56944365,35.3,-67.67702682,1,1,1,B,17.679081,22.795216,8.265133,0,c2,c2,1,NA,c2,CML
COHP_45010,-0.017542476,0.11233125,mRNA,541,PBMC,13,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,5/18/21,12/1/20,NA,13,29,11,24,150933740,150933740,0.303428262,0.081055648,0.528624,1.09,45752239,27.04809541,76.77121446,39840097,0.002723349,59363058,91570682,99.92770175,3.768077211,91570682,62.45,32406074,76.3096337,56,22.72727273,52114834,75.93478933,56,98.66354681,22.72727273,51894577,60.3,-69.87100711,2,1,1,B,18.644873,11.495405,9.561146,0,c2,c3,1,NA,c2,CML
COHP_45011,0.05000479,0.147986165,mRNA,541,PBMC,14,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,5/25/21,12/1/20,NA,14,29,11,25,181946491,181946491,0.353777699,0.085017851,0.504744,1.08,58239911,30.10351983,74.80179361,51195403,0.003063354,65312263,116634228,99.86761519,3.446185626,116634228,63.66,43567458,75.55663168,56,22.72727273,69006020,75.27391453,56,98.610084,22.72727273,68441411,63,-90.1611721,2,1,1,B,19.372215,16.860772,10.178712,0,c2,c3,1,NA,c2,CML
COHP_45012,0.167949526,0.13075997,mRNA,541,PBMC,15,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,6/1/21,12/1/20,NA,15,29,11,26,116837656,116837656,0.776216866,0.082840796,0.39028,1.03,43371839,43.15230357,73.69126665,37564471,0.003096775,29923722,86913934,99.80410966,1.777500947,86913934,71.24,36312576,66.37457703,52.5,13.63636364,51477316,65.9960192,52.5,98.38877133,13.63636364,50975472,73.1,-142.9394537,2,2,2,B,26.382982,29.2707,12.451779,0,c3,c3,2,NA,c3,CML
COHP_45013,0.060493139,0.175822862,mRNA,541,PBMC,16,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,6/8/21,12/1/20,NA,16,29,11,27,149861456,149861456,1.266923896,0.10736469,0.516481,1.08,48248163,29.49656381,72.67502275,42302638,0.003169429,53191117,96670339,99.81999339,2.957784187,96670339,62.32,36274499,75.39264838,56.5,22.72727273,58824752,75.02922467,56.5,98.15543612,22.72727273,58207946,74.9,-130.4880054,2,2,2,B,20.939849,21.622389,11.253022,0,c3,c3,2,NA,c3,CML
COHP_45014,0.090623845,0.066381762,mRNA,541,PBMC,17,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,6/15/21,12/1/20,NA,17,29,11,28,118088792,118088792,0.590400311,0.067148083,0.401629,1.06,43143581,41.65347885,71.17417446,34284155,0.00303106,31733917,86354875,99.92158752,1.630243805,86354875,72.48,34913314,67.29123194,54,9.090909091,48405198,66.60879292,54,98.22209018,9.090909091,48169375,79.9,-122.0990789,2,2,2,B,20.635321,11.678586,10.934528,0,c3,c3,2,NA,c3,CML
COHP_45015,0.171693451,0.079804436,mRNA,541,PBMC,18,CML.mRNA.2021,2021_E,TET_OFF_B,"tTA+/-, BCR-ABL+/-",F,6/22/21,12/1/20,NA,18,29,11,29,122586622,122586622,1.399787975,0.086925161,0.419221,1.06,47266165,42.71955059,62.24936778,34658146,0.003872377,27920338,94666284,99.85849872,1.278645309,94666284,71.86,40008396,68.10365947,55,13.63636364,56064523,67.47106982,55.5,98.12690767,13.63636364,55676302,73.9,-156.1194962,2,2,2,B,23.133538,20.921539,12.412306,0,c3,c3,2,NA,c3,CML
COHP_46879,0.130889981,-0.030777447,mRNA,476,PBMC,0,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,11/24/20,9/12/20,NA,0,28.4,10.4,10.4,112646252,112646252,0.237160336,0.083567278,0.2228,1.04,49995097,66.95899833,40.65734385,21323549,0.002177294,12607637,100038615,99.95159769,0.498701426,100038615,89.2,46780674,44.05250968,48,4.545454545,52556229,43.56764564,48,98.69825199,9.090909091,52446980,NA,10.12154828,NA,0,NA,A,0.112773,0,0.079861,0,c1,NA,0,A.pre,c1,Tet-Off-On
COHP_46880,0.120452433,0.139727673,mRNA,476,PBMC,1,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,12/1/20,9/12/20,NA,1,28.4,10.4,11.4,141726759,141726759,0.128656888,0.086718037,0.376781,1.04,53675865,45.28406382,68.41089629,38689610,0.001780945,34308835,107417924,99.93837714,1.372398521,107417924,79.2,44790690,64.17639118,51,13.63636364,56709075,63.57677906,51,98.6173343,18.18181818,56554748,NA,-50.94122198,NA,1,NA,A,1.522913,0,0.67617,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46881,0.157509306,0.053538563,mRNA,476,PBMC,2,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,12/8/20,9/12/20,NA,2,28.4,10.4,12.4,146030706,146030706,0.172251872,0.085772864,0.322333,1.04,58658771,52.50290031,59.65717646,37212280,0.002072379,28616104,117414602,99.91733566,1.066818759,117414602,82.28,51325401,58.83606141,51,9.090909091,62573860,58.27643402,51,98.6172246,13.63636364,62376871,NA,-78.1098513,NA,1,NA,A,3.046574,2.781947,1.392579,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46882,0.08860859,-0.051595122,mRNA,476,PBMC,3,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,12/15/20,9/12/20,NA,3,28.4,10.4,13.4,183459780,183459780,0.256055564,0.090807286,0.456273,1.1,57305169,32.49871661,66.94659952,41889527,0.002145434,68773410,114686370,99.93370441,3.815824845,114686370,69.41,43433591,68.47427461,53,9.090909091,62741725,67.83854485,53,98.38516115,13.63636364,62571553,NA,-56.42382682,NA,1,NA,A,2.39178,2.03778,1.224904,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46883,0.114164684,0.052028834,mRNA,476,PBMC,4,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,12/22/20,9/12/20,NA,4,28.4,10.4,14.4,166464343,166464343,0.256489546,0.116016395,0.459011,1.07,59325187,36.82266298,72.94243891,46685258,0.002171952,47729265,118735078,99.92866135,2.045993518,118735078,74.01,47370970,71.64290501,54,9.090909091,64289255,71.07490387,54,98.61491049,9.090909091,64002875,NA,-87.44302709,NA,1,NA,A,3.426125,2.551139,1.722201,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46884,0.061273877,0.123584406,mRNA,476,PBMC,5,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,12/29/20,9/12/20,NA,5,28.4,10.4,15.4,188379505,188379505,0.149696663,0.092739791,0.453591,1.04,58828100,32.67731912,69.27733055,44012770,0.001986441,70606746,117772759,99.90103059,3.720363722,117772759,69.83,44365904,67.78210712,53,9.090909091,63804099,67.36961018,53,98.67409011,13.63636364,63531273,NA,-73.22338345,NA,1,NA,A,4.373872,3.155107,2.101908,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46885,-0.056131373,0.056227667,mRNA,476,PBMC,6,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,1/5/21,9/12/20,NA,6,28.4,10.4,16.4,256008170,256008170,0.600298231,0.077572732,0.688829,1.07,51386866,11.6558077,85.99639132,48589761,0.001607389,153162294,102845876,99.92985232,10.98329018,102845876,46.09,26042021,84.32395155,55,22.72727273,56699082,83.94615911,55.5,98.46019688,27.27272727,56502093,NA,-47.96506524,NA,1,NA,A,2.662699,1.538886,1.146941,0,c2,NA,1,A.pre,c2,Tet-Off-On
COHP_46886,-0.068024252,0.03679391,mRNA,476,PBMC,7,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,1/12/21,9/12/20,NA,7,28.4,10.4,17.4,276942199,276942199,0.381244518,0.091569266,0.710699,1.09,51011659,9.964434492,82.63920662,46775471,0.001662164,174810847,102131352,99.89422053,13.22648505,102131352,43.14,24417939,82.28364778,55,22.72727273,56913208,82.05401416,55,98.62555891,27.27272727,56602033,NA,36.85714973,NA,0,NA,A,0.011137,0.155031,0.010339,0,c1,NA,2,A.post,A.post,Tet-Off-On
COHP_46887,0.116960733,-0.046823255,mRNA,476,PBMC,8,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,1/19/21,9/12/20,NA,8,28.4,10.4,18.4,141228932,141228932,0.199400162,0.107983868,0.400201,1.04,50542355,41.13960304,63.10741814,33571931,0.002154791,40078582,101150350,99.9351065,2.018403298,101150350,77.8,41385933,61.55491853,51,9.090909091,53351157,61.06732637,51,98.68548984,13.63636364,53198074,NA,20.27719591,NA,0,NA,A,0.135281,0,0.074698,0,c1,NA,2,A.post,A.post,Tet-Off-On
COHP_46888,0.178185375,0.141305351,mRNA,476,PBMC,12,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,2/16/21,9/12/20,NA,12,28.4,10.4,22.4,171781613,171781613,0.259944253,0.084667894,0.398559,1.01,60225948,40.47684778,59.12474124,38140531,0.002487471,51238062,120543551,99.92396524,2.441012377,120543551,75.72,48846123,62.00697153,52,9.090909091,64726597,61.37980605,52.5,98.35238438,13.63636364,64508580,NA,-8.028167182,NA,0,NA,A,0.15424,0,0.080699,0,c1,NA,2,A.post,A.post,Tet-Off-On
COHP_46889,0.009320916,-0.093718026,mRNA,476,PBMC,16,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,3/16/21,9/12/20,NA,16,28.4,10.4,26.4,180643292,180643292,0.17787137,0.083467275,0.438406,1.05,55779044,33.24213334,64.44220652,37953137,0.00200116,69013290,111630002,99.93557825,4.159375541,111630002,71.04,41838157,63.20604392,52,9.090909091,59037583,62.71718528,52,98.5556582,13.63636364,58894844,NA,25.48952288,NA,0,NA,A,0.085101,0,0.062593,0,c1,NA,2,A.post,A.post,Tet-Off-On
COHP_46890,0.057285003,-0.132149302,mRNA,476,PBMC,18,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",M,3/30/21,9/12/20,NA,18,28.4,10.4,28.4,200009367,200009367,0.304792678,0.078628795,0.424122,1.05,63475898,35.0400659,63.95507796,42823586,0.002100764,72998077,127011290,99.95315849,3.466765828,127011290,72.62,48628689,63.66726771,52,9.090909091,67083865,62.74966372,52,97.74170059,13.63636364,66958852,NA,10.13595288,NA,0,NA,A,0.081772,0,0.053501,0,c1,NA,2,A.post,A.post,Tet-Off-On
COHP_46891,0.153290801,0.031976366,mRNA,482,PBMC,0,CML.mRNA.2022,2022_A,TET_OFF_ON_A,"tTA+/-, BCR-ABL+/-",F,11/24/20,9/12/20,NA,0,28.4,10.4,10.4,136177448,136177448,0.103360675,0.106331769,0.259637,1.1,60805759,64.17625186,43.6730275,27922886,0.002282761,14503358,121674090,99.9485741,0.461195148,121674090,89.18,57021001,49.40651764,50,0,64087227,48.90216326,50,98.73071584,4.545454545,63936227,NA,12.20027426,NA,0,NA,A,0.128518,0,0.100031,0,c1,NA,0,A.pre,c1,Tet-Off-On
